time,model_id,learning_rate,epochs,batchsize,accuracy,precision,recall,f1_score
2025-06-12 10:05:19,base_downsamp,0.0007,10,32,0.5569136745607334,0.5844377553333591,0.5569136745607334,0.5548636626714765
2025-06-12 10:09:37,base_upsamp,0.0007,10,32,0.5328495034377387,0.5681721707115439,0.5328495034377387,0.5396824861251215
2025-06-12 10:12:11,base_meansamp,0.0007,10,32,0.5339954163483576,0.5607128914505616,0.5339954163483576,0.5347239704648277
2025-06-12 10:22:22,base_meansamp,0.0007,20,32,0.553475935828877,0.5714536429541626,0.553475935828877,0.5514607198989858
2025-06-12 10:35:12,base_downsamp_augment+,0.0007,15,32,0.5305576776165012,0.5519126588599526,0.5305576776165012,0.525034901300971
2025-06-12 10:43:18,base_upsamp_augment+,0.0007,15,32,0.5645530939648586,0.6074598374942316,0.5645530939648586,0.5617581360607177
2025-06-12 10:47:51,base_meansamp_augment+,0.0007,15,32,0.5836516424751719,0.6169834650926043,0.5836516424751719,0.5846241862506495
2025-06-12 11:02:36,conv4dense2,0.007,25,32,0.08059587471352177,0.006495695020837698,0.08059587471352177,0.01202243164690922
2025-06-12 11:26:41,conv4dense2,0.0007,25,32,0.5912910618792971,0.6286579031057422,0.5912910618792971,0.5893348654157918
2025-06-12 11:36:53,conv4small_dense1,0.0007,30,32,0.6581359816653934,0.6774350248399417,0.6581359816653934,0.65865917224748
2025-06-12 11:45:39,conv5_dense1,0.0007,30,32,0.11802902979373568,0.23229704355443326,0.11802902979373568,0.06642735140224613
2025-06-12 11:50:29,conv5small_dense1,0.0007,30,32,0.2047364400305577,0.281730066361943,0.2047364400305577,0.16636476821689627
2025-06-12 11:56:47,conv5small_dense1,0.0007,30,32,0.618411000763942,0.6439953966776758,0.618411000763942,0.6186190260579999
2025-06-12 12:07:45,conv4small_dense2_lowlr,0.0005,30,32,0.6432391138273491,0.6652378115909132,0.6432391138273491,0.6410978748276783
2025-06-12 12:22:14,conv4lesspoll_dense1,0.0005,35,32,0.6608097784568373,0.6897490769840959,0.6608097784568373,0.6619912525215284
2025-06-12 12:52:51,conv3_dense2,0.0005,35,32,0.5309396485867074,0.5769721920971406,0.5309396485867074,0.5262070021081628
2025-06-12 13:00:05,conv3_dense1,0.0005,35,32,0.6130634071810542,0.625589888975198,0.6130634071810542,0.6115662412255343
2025-06-12 13:15:05,conv3invert_dense1,0.0005,35,32,0.671886936592819,0.686007640510949,0.671886936592819,0.6701111003710337
2025-06-12 13:21:23,conv4lesspollinv_dense1,0.0005,35,32,0.640183346065699,0.6793924871180447,0.640183346065699,0.6438953226317675
2025-06-12 13:30:17,conv4invto128_dense1,0.0005,35,32,0.645912910618793,0.6618562264193348,0.645912910618793,0.6433270952607025
2025-06-12 13:42:04,conv5invto128_dense1,0.0005,35,32,0.6810542398777693,0.7050325897581047,0.6810542398777693,0.6780012806326041
2025-06-12 13:47:02,conv5invto128_dense1_35extraepochs,0.0005,35,32,0.6848739495798319,0.7073409402579971,0.6848739495798319,0.6850411855635117
